,pid,lab,ml_e_p,ap_e_p,dv_e_p,ml_t_p,ap_t_p,dv_t_p,phi_p,theta_p,depth_p,ml_e_m,ap_e_m,dv_e_m,ml_t_m,ap_t_m,dv_t_m,phi_m,theta_m,depth_m,ml_e_e,ap_e_e,dv_e_e,ml_t_e,ap_t_e,dv_t_e,phi_e,theta_e,depth_e
266,31811232-52ef-456c-9772-5021c00b2bc9,cortexlab,8443.000,7699.908,610.361,7407.724,7699.908,4668.873,0.000,15.000,4188.474,8503.000,7236.247,425.487,7686.854,7236.247,5287.458,0.000,10.000,4929.996,8555.170,7689.419,675.000,7814.326,7520.453,5341.760,-12.848,9.248,4728.219
267,c17772a9-21b5-49df-ab31-3017addea12e,hoferlab,3496.000,7239.926,509.521,4531.276,7239.926,4568.033,180.000,15.000,4188.474,3490.000,7266.605,640.824,4591.016,7266.605,4957.051,180.000,15.000,4454.442,3475.000,7375.000,475.000,4054.789,7775.872,4098.796,145.340,11.007,3691.714
268,bef552f5-efd8-4e98-8467-d54ac7c4ef41,hoferlab,3884.000,4250.046,1310.992,3011.244,4250.046,6510.197,0.000,10.000,5271.949,3906.000,4250.046,2167.084,3092.458,4250.046,7013.538,0.000,10.000,4914.262,3650.000,3650.000,1575.000,3381.598,4348.642,6489.835,68.984,8.658,4971.493
269,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,3910.000,6549.954,510.571,2726.588,6549.954,7560.429,0.000,10.000,7148.494,3910.000,6549.954,332.000,5093.412,6549.954,7381.858,180.000,10.000,7148.494,3298.117,6190.500,725.000,2684.558,7329.918,7444.664,61.698,10.901,6843.144
270,6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,angelakilab,3035.000,7239.926,659.731,4070.276,7239.926,4718.243,180.000,15.000,4188.474,3035.000,7239.926,332.000,4070.276,7239.926,4390.512,180.000,15.000,4188.474,3075.379,6994.194,625.000,3558.807,7395.910,3644.325,140.274,11.760,3084.057
271,b40d8c65-7ee8-4069-8b64-1a3f7907742f,danlab,3496.000,8159.890,460.151,4531.276,8159.890,4518.663,180.000,15.000,4188.474,3496.000,8159.890,460.151,4531.276,8159.890,4518.663,180.000,15.000,4188.474,3500.000,8600.000,450.000,4304.202,8708.570,4193.647,172.311,12.231,3830.590
272,1d547041-230a-4af3-ba6a-7287de2bdec3,cortexlab,5022.000,9999.816,1210.151,6057.276,9999.816,5268.663,180.000,15.000,4188.474,4911.000,10052.714,-918.525,5954.740,10052.714,3173.165,180.000,15.000,4222.715,5150.000,10675.000,1125.000,5634.478,10832.683,4536.311,161.971,8.495,3449.149
273,aac3b928-e99a-4039-ace1-af45d0130d82,cortexlab,1733.000,7009.936,1510.571,1061.676,7009.936,5509.801,0.000,10.000,4055.184,1573.400,7060.442,-2771.571,827.651,7060.442,1671.029,0.000,10.000,4504.757,2825.000,7125.000,725.000,1745.112,7125.000,6501.838,-0.000,10.588,5876.905
274,37137b1d-34d4-4183-9796-abfc9ffb6abe,wittenlab,7609.000,11379.761,1211.202,8644.276,11379.761,5269.714,180.000,15.000,4188.474,7563.000,11379.117,2504.164,8520.630,11379.117,6258.287,180.000,15.000,3874.339,7725.000,11750.000,1375.000,8295.791,11759.638,5045.498,179.033,8.840,3714.626
275,dd619e10-5df1-4c79-bd62-cc00937b5d36,zadorlab,3393.000,7469.917,509.521,2234.767,7469.917,7409.382,0.000,10.000,6996.398,3392.000,7471.757,1334.521,2419.588,7471.757,7127.404,0.000,10.000,5873.933,3525.000,8275.000,425.000,2576.151,8997.790,5882.481,37.298,12.329,5586.308
276,eda7a3ac-f038-4603-9c68-816234e9c4eb,zadorlab,3496.000,8159.890,460.151,4531.276,8159.890,4518.663,180.000,15.000,4188.474,3531.000,8137.994,937.357,4566.354,8137.994,4996.173,180.000,15.000,4188.788,3975.000,8825.000,325.000,4859.054,9256.208,3871.019,153.999,15.503,3679.911
277,cab81176-36cd-4c37-9353-841e85027d36,danlab,3022.000,9539.834,910.782,4057.276,9539.834,4969.293,180.000,15.000,4188.474,3022.000,9539.834,910.782,4057.276,9539.834,4969.293,180.000,15.000,4188.474,2600.000,9950.000,1300.000,3569.806,10090.691,6102.580,171.746,11.533,4901.540
278,d06f4b61-42c1-4a8d-a2a5-c1cf8f7d0e47,danlab,4439.000,9309.844,586.202,3419.338,9309.844,6660.562,0.000,10.000,6159.348,4439.000,9309.844,586.202,3466.570,9309.844,6379.188,0.000,10.000,5874.037,3700.000,9850.000,750.000,3826.944,10639.674,6069.691,99.132,8.550,5379.481
