,cluster_ids,avg_fr,avg_fr_base,avg_fr_trial,avg_fr_rxn_time,avg_fr_post_stim,avg_fr_pre_move,avg_fr_pre_moveL,avg_fr_pre_moveR,avg_fr_pre_move_tw,avg_fr_post_move,avg_fr_post_reward,trial,p_trial,post_stim,p_post_stim,pre_move,p_pre_move,pre_move_lr,p_pre_move_lr,start_to_move,p_start_to_move,post_move,p_post_move,post_reward,p_post_reward,avg_ff_post_move,region,x,y,z,p2t,amp,eid,pid,subject,probe,date,lab
0,48,1.15484093005216,0.9833024118741382,1.4656771799627124,1.0276595289501087,1.4656771799633665,1.1255411255409897,1.2394366197181381,0.9057971014492084,1.0034415593530646,1.8256029684601114,0.70500927643754,True,0.033163492566131526,True,0.03973625149381047,False,0.2055030321468575,False,1.0,False,0.6805773707433109,True,0.0014124465330706594,False,0.9242482588590439,1.13329475308642,PO,-0.00158,-0.00225,-0.003708,0.4666666666666667,4.859223367842791e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
1,56,0.4922023666907777,0.0,0.03246753246752509,0.03460386324121964,0.09276437847874856,0.024737167594295454,0.03755868544598662,0.0,0.028036767416493573,0.022263450834879406,0.012368583797147727,False,0.1016795228279614,False,0.3918163607240064,False,0.5317094996621804,False,1.0,False,0.6783879823276096,False,0.1473486823848959,False,0.3934650297500136,,PO,-0.001622,-0.00225,-0.003599,0.4,0.00011647364111345245,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
2,60,0.4674511228430721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,,PO,-0.001631,-0.00225,-0.003553,0.4333333333333333,8.665123152984778e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
3,76,2.8288066323838303,1.75324675324723,5.273654916510937,1.8383246807165932,3.2282003710564053,3.47557204700107,3.6431924882632765,3.152173913044093,2.233977887752459,5.758812615955473,8.645640074206693,True,1.3248193409896854e-35,True,0.0002076985038346786,True,9.594944315791807e-10,False,1.0,False,0.14690206623780153,True,1.0544145306446029e-35,True,8.540772756466422e-44,1.298959431376497,PO,-0.001703,-0.00225,-0.003354,0.4666666666666667,5.004943235490609e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
4,80,1.2790313816388934,0.5844155844155952,0.6215213358069553,0.35322816086960923,0.2968460111316685,0.4205318491032945,0.4694835680751316,0.3260869565217611,0.3662588085442774,0.6679035250463822,1.0265924551634324,False,0.9080937170566261,False,0.11158572892731286,False,0.6795856901196821,False,1.0,False,0.9110996401368018,False,0.4585718380544412,True,2.9491520377715357e-06,0.96875,PO,-0.001729,-0.00225,-0.003288,0.3666666666666667,4.1362816906429635e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
5,87,0.8695502772812372,0.1298701298702058,0.3617810760667236,0.315817525545907,0.4081632653060824,0.3586889301174856,0.1690140845070323,0.7246376811593929,0.37739849596739383,0.45269016697588127,0.3957946815087647,True,0.0007978572014099332,True,0.010699830998708524,True,0.0020528033218352214,False,0.7640921256337682,True,0.03512313948710566,True,0.003463004459679288,True,0.00011557648600871726,0.9427083333333334,PO,-0.001738,-0.00225,-0.003242,0.4666666666666667,5.1569020301103586e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
6,88,9.641695059551855,11.298701298703232,9.267161410017152,10.54177592749237,10.055658627083334,10.921459492890628,10.309859154931793,12.101449275365553,11.685024961727404,9.506493506493506,7.656153370436117,True,0.00019662823850905608,True,0.003256109320288655,False,0.6943114367853502,False,0.23228837856675552,False,1.0,True,0.0014124465330706594,True,1.5645583179582868e-13,1.4571146800953423,PO,-0.001738,-0.00225,-0.003242,0.4333333333333333,4.903960273208687e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
7,98,7.521121387090971,6.558441558442325,9.355287569572011,5.476487996409916,6.512059369200047,7.000618429191196,7.417840375588193,6.195652173914378,5.28750415322312,10.174397031539888,13.469387755097147,True,7.592083307200406e-14,False,0.5452495604187754,False,0.4783438567684764,False,0.69401893289193,False,0.11329349976662136,True,3.4665124891874716e-13,True,7.435261584881221e-22,2.000648529331341,PO,-0.001738,-0.00225,-0.003148,0.5,5.631288824469235e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
8,102,0.8272126233312145,0.30612244897954066,0.9786641929497503,0.3710348031257202,0.3710575139141927,0.5318491032780834,0.5070422535215594,0.5797101449278987,0.25169564863689176,1.0686456400742115,0.7915893630176418,True,5.040294705993614e-06,False,0.9131631914285343,False,0.0540599170428484,False,1.0,False,0.8349032708982784,True,5.3913042666897905e-05,True,1.2802544657436667e-05,1.110245657120657,PO,-0.001738,-0.00225,-0.003124,0.4333333333333333,7.128297031864406e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
9,112,5.971563252520137,3.0612244897966567,5.217996289423963,3.165423113324949,3.9888682745813555,4.155844155844719,4.150234741784319,4.166666666667772,3.8993931901478054,5.588126159554731,9.00432900432502,True,5.5926912595256935e-14,True,0.04551019936059225,True,0.0020167192338434803,False,1.0,False,0.2659737424837585,True,1.225505335336335e-14,True,3.277251382640805e-34,1.1063400963187489,LP,-0.001738,-0.00225,-0.003054,0.4333333333333333,6.012934029677697e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
10,117,0.4563781979638354,0.5380333951762032,0.8348794063078506,0.5679642976486355,0.6679035250460194,0.5689548546693239,0.5258215962443019,0.652173913043687,0.5614607588882032,0.9499072356215214,0.915275200989035,True,0.012682241992088363,False,0.7547063019139875,False,0.24481125923578367,False,1.0,False,0.7372815265836734,False,0.2341825510910647,True,3.07943391999509e-05,1.0437079124579123,LP,-0.001738,-0.00225,-0.00303,0.5333333333333333,3.357899586123358e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
11,124,2.357230302232807,1.512059369202383,1.8320964749532895,1.2993271206908914,1.1502782931349582,1.3481756338901778,1.4084507042256156,1.2318840579712629,1.5195376970018768,1.8552875695732838,3.215831787258643,True,0.022518830317652574,False,0.08076259190393882,False,1.0,False,1.0,False,0.8348827406319005,False,0.17079171603879598,True,3.9931315052354944e-11,1.1559689153439154,LP,-0.001738,-0.00225,-0.003006,0.4333333333333333,6.201574591089592e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
12,146,3.5665673919847403,3.320964749536794,3.993506493505864,3.2528328264420003,4.545454545453907,3.84662956091566,3.5680751173712872,4.384057971014858,3.8416616520609566,4.200371057513915,3.7600494743333845,True,0.0031841014198622604,False,0.09468261372619335,False,0.2055030321468575,False,0.7063952262555364,False,0.6673441407001723,True,0.007771279547634792,False,0.14777719284769644,1.5820652664859984,LP,-0.001754,-0.00225,-0.00289,0.5666666666666667,6.307551766383297e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
13,155,4.8251898532579816,2.4211502782937098,3.636363636363033,2.039599364186745,2.0964749536173763,2.0408163265307158,2.1220657276995745,1.8840579710147096,2.3608697157148475,3.599257884972171,5.405071119354395,True,4.907398872014896e-08,False,0.1302283182031179,False,0.3534981163947575,False,1.0,False,0.8349032708982784,True,0.0004971886997310684,True,1.7041342761230634e-15,1.3450718186134853,LP,-0.00177,-0.00225,-0.002821,0.4333333333333333,6.02916321057432e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
14,160,2.786903210782013,1.9944341372920968,2.4768089053798494,1.4408101839698355,1.5769944341373967,1.8800247371673735,2.0845070422530685,1.4855072463770367,1.5135083081941982,2.5974025974025974,2.8942486085328354,True,0.0031841014198622604,False,0.28082058441359964,False,1.0,False,1.0,False,0.6993297209070619,True,0.03552843504022397,True,1.3130651976300661e-06,1.2932692307692306,LP,-0.00177,-0.00225,-0.002821,0.4333333333333333,5.720614393863649e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
15,164,5.3553875504167285,3.543599257885623,8.91929499072202,3.3370511824279654,4.3784786641913795,4.143475572047913,4.150234741784795,4.130434782609905,3.732060243011916,8.178107606679035,14.990723562144847,True,5.888072267145057e-38,False,0.4056281997328781,False,0.3534981163947575,False,1.0,False,0.7468683027819475,True,3.1577198047214336e-26,True,2.771260810494852e-48,1.5910016913165894,LP,-0.001777,-0.00225,-0.002799,0.5,5.689325164582166e-05,824cf03d-4012-4ab1-b499-c83a92c5589e,c07d13ed-e387-4457-8e33-1d16aed3fd92,UCLA011,probe00,2021-07-20,churchlandlab_ucla
