,unit_id,left_right_ccf_coordinate,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,firing_rate,percentile_rank,color,size_scale
5700,1082874598,7461.0,8086.0,2319.0,0.0440998704731287,0.07010999551742406,#efeaf5,0.038154838847571114
5800,1082874702,7554.0,8081.0,1639.0,0.223746611236586,0.14819458768137975,#e0d6eb,0.041370322691561254
5900,1082873938,7422.0,8069.0,3101.0,9.24746001244245,0.8065752806311969,#643196,0.08183896622973719
6000,1063473323,8806.0,7810.0,1643.0,0.335682894737979,0.17343493838809076,#dcd0e7,0.04246654947398657
6100,1063473337,8883.0,7781.0,1554.0,1.12606164380603,0.2851890048367935,#c7b4d9,0.047679892164302594
6200,1053057324,7164.0,8529.0,3801.0,0.016454536654973,0.03715679298335804,#f5f2f9,0.03687414735163003
6300,1053057121,7296.0,8628.0,3537.0,26.1803206836876,0.96820819214264,#460882,0.09675981425242226
6400,1053057311,8008.0,9212.0,842.0,3.61339528823889,0.5404575989066276,#9674b8,0.062116418142921924
6500,1063471807,7680.0,7756.0,727.0,3.75712060452863,0.5520558723312217,#9471b7,0.06286755263913599
6600,1063471781,7676.0,7783.0,821.0,0.841285662805933,0.250757806108215,#cdbddd,0.04600889078695818
6700,1082875318,7988.0,9102.0,1143.0,13.0440454570414,0.8813245855184585,#561e8d,0.08842950610498203
6800,1082874989,7871.0,8647.0,3537.0,3.32485622963838,0.5159225486108716,#9b7abb,0.06055723324855738
6900,1082875414,7987.0,9153.0,891.0,4.79952073298892,0.624758238692467,#865fae,0.06778622911529264
7000,1082874792,7038.0,7974.0,1825.0,3.95186927663846,0.5668295649393599,#916db5,0.06383732159661429
7100,1082875269,7346.0,7649.0,1035.0,1.24079360162172,0.29840163253535124,#c4b1d7,0.04833725695746381
7200,1082874916,7135.0,7903.0,1577.0,0.509647325312387,0.20464996724271425,#d6c8e3,0.04386244777800644
7300,1082874727,7004.0,7998.0,1912.0,23.8238048276133,0.9612680360988424,#470a82,0.09606644517537366
7400,1082875170,7484.0,7540.0,728.0,7.36055626575854,0.7469601552287838,#6f409e,0.07693668318720902
7500,1163284790,7353.0,8505.0,4044.0,0.657643910177878,0.22661145470560762,#d2c3e0,0.044872103470165195
7600,1163284848,7450.0,8446.0,3858.0,3.3372097735809,0.5170165479149752,#9b7abb,0.0606259908524818
7700,1163285045,7740.0,8266.0,3280.0,4.49671498002468,0.6054549501117509,#8a64b0,0.06644391443807669
7800,1163284970,7683.0,8301.0,3397.0,3.1803781184978,0.5031707171808045,#9d7dbd,0.05976241986048187
7900,1163284342,7951.0,8202.0,3312.0,2.29341623023944,0.4156131568305994,#ae93c8,0.05457912243725892
8000,1163284445,9299.0,8349.0,1818.0,0.0329399275590148,0.05519524282709482,#f2eef6,0.03756973037778577
8100,1163284099,7600.0,8168.0,3728.0,0.981274147729379,0.2680893882067502,#cab8db,0.04684266554072931
8200,1163284401,9047.0,8296.0,2016.0,1.33438177882379,0.3091598148037854,#c2aed6,0.048879047080244896
8300,1163284009,7356.0,8153.0,4017.0,4.41416010136378,0.5999943575967124,#8b65b1,0.06606895952843612
8400,1179687578,9261.0,8992.0,1800.0,4.33941370281134,0.5947406532022206,#8c66b1,0.06571031969505968
8500,1093301273,7015.0,7687.0,2307.0,9.69911461352812,0.8178882992229157,#622e95,0.08280396940478602
8600,1093301333,7607.0,7546.0,1335.0,50.7863640162081,0.9942572873205794,#41027e,0.09940689656913264
8700,1093301254,7217.0,7806.0,3073.0,10.3079895488969,0.8322576195954396,#5f2b93,0.08404606261821251
8800,1089416212,6845.0,8674.0,4167.0,10.4001150232439,0.8343891941707705,#5f2a93,0.08423173795471385
8900,1089416435,7384.0,7995.0,1434.0,10.7291855579986,0.8411036540830624,#5e2892,0.08481987885602807
9000,1089416445,7531.0,7929.0,1076.0,2.11295128848134,0.3969211286060443,#b198cb,0.05353229806260201
9100,1089416644,7596.0,8406.0,925.0,7.42367336457118,0.749314291267127,#6f3f9e,0.07712445709475266
9200,1089416672,7616.0,8416.0,735.0,3.03315997310727,0.4895004278822493,#a081bf,0.058921760704075274
9300,1089416919,8117.0,9437.0,1037.0,0.362295178275076,0.17870745079354133,#dbcfe7,0.042699173537248364
9400,1089416860,8112.0,9424.0,1124.0,0.990606095418402,0.2692304075382508,#cab8db,0.04689801287271801
9500,1163282713,7557.0,7469.0,674.0,0.174141523725324,0.1348691119170692,#e3daec,0.040802920456815966
9600,1163282566,7065.0,8063.0,2536.0,5.68236380459617,0.6744301956346607,#7d52a7,0.07136646342534729
9700,1163282587,7477.0,7594.0,1126.0,7.35443714595638,0.7467626711137164,#6f409e,0.07692093118164944
9800,1163282760,7475.0,7596.0,1133.0,0.971415969696689,0.2668449248149762,#cab9db,0.04678230045611525
9900,1163282973,7264.0,8040.0,2882.0,0.983263600959929,0.26832448834373523,#cab8db,0.046854069523968735
10000,1163282972,7265.0,8040.0,2863.0,1.72094733529794,0.3540670756364161,#baa3d0,0.051207204518280855
10100,1163282908,7235.0,8066.0,3355.0,2.37449819777318,0.42431186189904485,#ac91c7,0.05507329093226606
10200,1179688205,9081.0,8225.0,1457.0,4.79188922384209,0.6242786344130177,#875fae,0.06775262157424257
10300,1179687980,8992.0,8196.0,1584.0,2.21822672815049,0.40809622178406524,#af95c9,0.05415576231175379
10400,1179688770,8759.0,7730.0,969.0,12.6014844248803,0.8746853576500018,#57208e,0.08782309823089753
10500,1179688579,8241.0,7871.0,1569.0,13.1751056333343,0.8833025613376257,#561e8c,0.08861096349761821
10600,1179688524,7276.0,8140.0,2887.0,0.25444635745407,0.15553911596079156,#dfd4ea,0.04168628214372343
10700,1157018833,8159.0,8074.0,2750.0,15.1567988375355,0.9076463968553006,#511889,0.09087456197869533
10800,1157018886,8515.0,7870.0,1962.0,8.06807410148531,0.7717773256889218,#6b3a9b,0.07894072897855507
10900,1157018992,9020.0,7712.0,1263.0,5.31326389012464,0.6549168842649046,#8157aa,0.06993791695256307
11000,1177236335,7409.0,8700.0,2925.0,10.4352655768177,0.8350568785598079,#5f2a93,0.08428992375845987
11100,1177236429,7936.0,9277.0,812.0,0.902330329815139,0.2583813198835157,#ccbbdc,0.046373819703236153
11200,1177236443,7288.0,8613.0,3257.0,0.277664455876448,0.16091820709500868,#ded3e9,0.04191930444659562
11300,1100910012,0.0,0.0,0.0,0.216669902164095,0.14637021061837605,#e1d7eb,0.041292174615305675
11400,1100910067,0.0,0.0,0.0,0.0429059401745457,0.06879343475030798,#efeaf5,0.038102907089358665
11500,1100909950,0.0,0.0,0.0,3.98627777669163,0.5694125317777019,#916db5,0.06400829262290789
11600,1100909861,0.0,0.0,0.0,2.3019393603859,0.41655669204703255,#ae93c8,0.05463258648089201
11700,1179688501,9414.0,8485.0,1627.0,5.98944383339936,0.6894860084071809,#7a4ea5,0.07248852129608592
11800,1179688702,8075.0,8641.0,3636.0,1.78462615938188,0.36118590778432225,#b8a1cf,0.051586339735642854
11900,1179688583,7938.0,8633.0,3713.0,1.18208403722818,0.2917843473463464,#c5b2d8,0.04800696985545401
12000,1179688065,8185.0,8648.0,3584.0,6.63819738078565,0.7184816919686658,#7547a2,0.0746995512728173
12100,1179688697,7969.0,8635.0,3694.0,0.0309131223587876,0.05216088372574158,#f3eef7,0.037451897688487626
12200,1106863917,7465.0,7539.0,840.0,3.71922558576098,0.5490058398874027,#9572b7,0.06266911409232016
12300,1100885566,8510.0,8674.0,3305.0,5.36549817316184,0.6579198966813264,#8056a9,0.07015608879457161
12400,1100885665,8991.0,8790.0,1944.0,0.103888366516283,0.11091084062404981,#e8e0ef,0.03980253634308866
12500,1100885591,8565.0,8678.0,3095.0,17.4288498986182,0.9283446129154611,#4d1287,0.09284453935965989
12600,1163292233,9270.0,8374.0,1669.0,6.08412287117054,0.693949776341403,#794da5,0.0728246431942968
12700,1163292278,9388.0,8363.0,1542.0,3.82782395549329,0.5574694448188632,#9370b6,0.06322119594875424
12800,1163292295,9442.0,8356.0,1479.0,0.596876352338998,0.21814158043716086,#d3c5e2,0.04448003002494182
12900,1153696170,7407.0,7650.0,1395.0,31.7867889456974,0.9792014745480592,#430680,0.09786816484213132
13000,1153696242,7549.0,7485.0,794.0,3.98082067672971,0.5690018902051014,#916db5,0.06398111154955295
13100,1153696513,7395.0,7894.0,797.0,3.02304411299246,0.4885913740192406,#a081bf,0.05886637555807904
13200,1153696558,7452.0,7887.0,615.0,2.00465234575412,0.38526486381432734,#b49bcc,0.05288950245999495
13300,1153696364,7216.0,7925.0,1910.0,2.62735061031524,0.4506054612194487,#a78ac4,0.05659435030841186
13400,1138193253,8003.0,7730.0,3007.0,11.8375246463906,0.8620212969377423,#5a238f,0.08667842029808036
13500,1138193120,7638.0,7895.0,3661.0,8.18698856570744,0.7755483318861613,#6a399a,0.07924964385694827
13600,1138193313,8587.0,7395.0,2082.0,23.7009826341736,0.9608636638632282,#470a83,0.09602614239413253
13700,1138193348,8796.0,7281.0,1691.0,0.0261424812423601,0.04739618761617865,#f4f0f7,0.03726745529088852
13800,1138193123,7649.0,7890.0,3642.0,7.75574219513347,0.7612542435574726,#6d3c9c,0.07808462084543663
13900,1143985554,7258.0,7879.0,2344.0,0.094700971553403,0.1067385968596891,#e8e1f0,0.03963087774772337
14000,1143985488,7170.0,8015.0,3028.0,13.5288159149633,0.8883023575841736,#551d8c,0.08907121310008947
14100,1143985706,7410.0,7669.0,979.0,0.881585718445239,0.25590806644243336,#ccbbdd,0.046255086465656056
14200,1143985802,7138.0,8058.0,3205.0,1.25436510088815,0.29991254274904156,#c4b0d7,0.0484128605347457
14300,1143985430,7095.0,8114.0,3426.0,15.8486726388759,0.914771498340193,#501688,0.09154769794929717
14400,1143986371,7181.0,7871.0,812.0,7.60744950361666,0.7560506938588709,#6e3e9d,0.0776647199570145
14500,1143986634,7024.0,7835.0,1618.0,1.57619648564729,0.33766335541184844,#bda7d2,0.05034425988634978
14600,1143986762,7011.0,7828.0,1768.0,0.0228296413129361,0.04426151912304514,#f4f0f8,0.03714654415827645
14700,1143986631,7023.0,7835.0,1630.0,0.0175450021201268,0.03862851984088423,#f5f2f9,0.036930398436604124
14800,1143987076,8019.0,8928.0,2300.0,0.40089445651749,0.18608959509487075,#d9cde6,0.04302702432876357
14900,1143987597,8066.0,9322.0,850.0,0.385991709781669,0.1832966054674888,#dacde6,0.04290271544594578
15000,1143987504,8072.0,9267.0,1070.0,0.445391310246428,0.19401090237701912,#d8cbe5,0.04338162640863427
15100,1143988095,8655.0,8348.0,3048.0,0.693033448519009,0.23145765219599201,#d1c1e0,0.0450979860733743
15200,1143988543,9389.0,8842.0,2069.0,14.3411524318667,0.8988034970361709,#531a8a,0.09004562849651908
15300,1143988851,8570.0,8293.0,3214.0,0.5656725661848,0.21354615642622715,#d4c6e2,0.04426872067704807
15400,1143988238,9065.0,8612.0,2560.0,6.77063133730047,0.7238200324124722,#7446a1,0.07511385725567511
15500,1143989207,8149.0,8604.0,3705.0,0.112034738096868,0.11406118245964898,#e7dfef,0.03993267651279046
15600,1143989504,8570.0,8587.0,2952.0,3.94489109879954,0.566315479306486,#916db5,0.06380329338264323
15700,1143990261,9193.0,8584.0,1855.0,0.158434030572836,0.13022980254723163,#e4dbed,0.04060725821627447
15800,1143989644,8927.0,8548.0,2336.0,9.76953485519607,0.8195716162037284,#622e95,0.08294833695689599
15900,1143989871,9157.0,8577.0,1923.0,0.856008814949563,0.2527389165958754,#cdbcdd,0.04610350630797759
16000,1156992863,7258.0,7857.0,1495.0,2.90388332411373,0.4773817994877952,#a284c0,0.05818663788908081
16100,1156992898,7217.0,7792.0,1227.0,0.667091173888256,0.2278841301138198,#d1c2e0,0.04493133068911204
16200,1156992785,7092.0,8161.0,2714.0,6.42745784655633,0.7095666947741942,#7649a3,0.07401256803596958
16300,1143976455,7599.0,7608.0,981.0,2.17511998614776,0.40342870039778944,#b096ca,0.05389446565478211
16400,1143976742,7409.0,7985.0,1043.0,2.92538201196974,0.4793754486494281,#a283c0,0.05830685116233733
16500,1143976740,7402.0,7985.0,1075.0,4.01263127865394,0.5714563356352249,#906cb4,0.06414407623534227
16600,1143976755,7415.0,7985.0,1022.0,1.98339108127919,0.3829405071266688,#b49bcc,0.052762411856389954
16700,1143977108,7777.0,8516.0,2532.0,1.54438562837103,0.33392369589954013,#bda8d3,0.050149504545502696
16800,1143977348,7927.0,8847.0,1009.0,1.11173674307338,0.2836655559491306,#c7b4d9,0.0476047884607047
16900,1163286310,0.0,0.0,0.0,12.2231886080829,0.8687106795020892,#58218e,0.0872812425333327
17000,1163286360,0.0,0.0,0.0,1.73263731552199,0.35538990574051843,#b9a2d0,0.05127738593979123
17100,1163286341,0.0,0.0,0.0,14.5141280749607,0.9009068595950636,#52198a,0.09024205013927497
17200,1163286115,0.0,0.0,0.0,1.48260400962108,0.32682053709409964,#bfa9d4,0.0497817995541814
17300,1163286004,0.0,0.0,0.0,4.72355787640571,0.6199151758705758,#8760ae,0.06744688956256242
17400,1163286046,0.0,0.0,0.0,18.0122106928792,0.9327707648277657,#4c1186,0.09327135454696477
17500,1163286002,0.0,0.0,0.0,13.7738760660746,0.8915404701375806,#541c8b,0.08937055497654563
17600,1163286119,0.0,0.0,0.0,6.390839440389,0.7080181685385862,#774aa3,0.07389406697031455
17700,1163287206,0.0,0.0,0.0,4.53442313528214,0.6078435675035186,#8a63b0,0.06660871180875369
17800,1163287434,0.0,0.0,0.0,0.0121966865315907,0.030951716701200265,#f7f4fa,0.036637781788923456
17900,1163287359,0.0,0.0,0.0,2.28860658859857,0.41514922589361564,#ae93c8,0.05455283446896092
18000,1163286705,0.0,0.0,0.0,8.60696379416983,0.7882970286477353,#683699,0.08030359188127435
18100,1163286951,0.0,0.0,0.0,11.3547645803509,0.8533413998802557,#5b2590,0.08590232555531095
18200,1163286679,0.0,0.0,0.0,3.33049514191159,0.5164334995752524,#9b7abb,0.060589346398814345
18300,1163286752,0.0,0.0,0.0,0.0104687805058866,0.02763680476971158,#f7f5fa,0.03651220110164624
18400,1163286828,0.0,0.0,0.0,1.3579939450403,0.3120405751489751,#c2add6,0.049025233086041835
18500,1163285611,0.0,0.0,0.0,2.38412904494252,0.42528360913191626,#ac91c7,0.055128723485103996
18600,1163285600,0.0,0.0,0.0,3.73205586397427,0.5501374552134239,#9571b7,0.0627425276777453
18700,1163285372,0.0,0.0,0.0,5.84643692386851,0.6825646603743422,#7b50a6,0.07197067124736077
18800,1163285594,0.0,0.0,0.0,7.31887063125148,0.7453834169767376,#70409e,0.0768109171745666
18900,1157017872,7837.0,8812.0,3287.0,2.45403090498356,0.43272844680310835,#ab8fc6,0.055555779530098146
19000,1157017631,7818.0,8763.0,3494.0,3.11906100796368,0.49758473792604063,#9e7fbe,0.05941752908146831
19100,1157017649,7824.0,8780.0,3418.0,5.50157419904101,0.665189192916903,#7f55a8,0.07068631623988914
19200,1157017748,8170.0,9181.0,1676.0,10.7972704820147,0.8425581402638764,#5d2892,0.08494789457141479
19300,1163284994,0.0,0.0,0.0,5.86649965351275,0.6835113302592685,#7b50a6,0.07204126272128741
19400,1163284564,0.0,0.0,0.0,5.07168291568865,0.6412654029773082,#835bab,0.06895575755404057
19500,1163285220,0.0,0.0,0.0,2.04202852680616,0.3893822508800582,#b39acc,0.053115667453338414
19600,1163285089,0.0,0.0,0.0,1.75520335620007,0.3579258525514634,#b9a2d0,0.05141242015618976
19700,1163291727,8112.0,8093.0,3883.0,0.830548845109429,0.24936914796575688,#cdbdde,0.045942725785292834
19800,1163291797,8187.0,8138.0,3754.0,4.94470867301698,0.633679505223925,#855cac,0.06841587869791875
19900,1163291785,8174.0,8130.0,3778.0,0.214084349148259,0.14574641158824247,#e1d7eb,0.04126545388132825
20000,1163291868,8264.0,8181.0,3606.0,0.387812568112248,0.183653957675706,#dacde6,0.04291858812220021
20100,1157008808,7781.0,9199.0,767.0,0.11417643495747,0.11488560027334309,#e7dfef,0.03996673309451342
20200,1157008700,7828.0,9021.0,2073.0,1.03883021941431,0.27505462159849287,#c9b6da,0.04718181493473144
20300,1157008806,7781.0,9201.0,757.0,0.0392964965842784,0.06411650935855279,#f0ebf5,0.037918685727794596
20400,1157008025,7487.0,8843.0,3647.0,0.165127797982755,0.13218897035544006,#e4daed,0.04068988585163828
20500,1157008632,7781.0,9202.0,748.0,0.0463100445310787,0.07261773031193086,#efe9f4,0.03825422715483281
20600,1153669898,8090.0,8698.0,2113.0,0.0379391920462203,0.062445731051712625,#f1ecf6,0.03785315084667046
20700,1153669519,8074.0,8677.0,2182.0,0.0251232719448161,0.04641660371207443,#f4f0f8,0.03722962450802154
20800,1153669500,7983.0,8595.0,2473.0,16.6178746845025,0.9218495797976884,#4e1488,0.0922218160108796
20900,1153669853,8146.0,8883.0,1391.0,0.909625186244901,0.2592841044095382,#cbbadc,0.04641715959223877
21000,1153669727,8145.0,8947.0,1092.0,2.3692160866826,0.4236943322058976,#ac91c7,0.05503811776048218
21100,1153669997,7987.0,8511.0,3482.0,7.13337395365248,0.7383868369000637,#71429f,0.07625623333733987
21200,1153669994,7977.0,8511.0,3497.0,3.54980252926583,0.5350973157833693,#9775b9,0.06177231871385417
21300,1153670222,9402.0,8488.0,1819.0,2.51944437392306,0.4395150040907424,#a98dc5,0.05594770311517147
21400,1153670130,8722.0,8453.0,2609.0,7.69279842101528,0.7590537062752929,#6d3d9c,0.07790674528427446
21500,1153670673,8140.0,8075.0,2705.0,0.462287709541652,0.19683837335782553,#d7cae4,0.04350895211114434
21600,1153670536,8603.0,7891.0,1929.0,15.3640226846393,0.9098720114854254,#511789,0.09108409556952973
21700,1153670383,7672.0,8301.0,3652.0,0.0040685386978363,0.011162554504048424,#faf9fc,0.03589419274541994
21800,1163291296,8016.0,8898.0,2305.0,0.0301194385350813,0.0513301965750612,#f3eff7,0.03741965055013533
21900,1163291287,7987.0,8885.0,2386.0,0.287315820535629,0.16299649230595617,#ded3e9,0.04200972326666561
22000,1163291321,8058.0,8918.0,2181.0,10.4163058267156,0.8346932570146044,#5f2a93,0.08425822399536184
22100,1163291388,8211.0,9027.0,1629.0,7.12245977724516,0.7379166366260936,#71429f,0.07621911516652571
22200,1163291428,8264.0,9086.0,1380.0,12.4161971736299,0.8717889239623463,#58218e,0.08756012152671211
22300,1163291111,7520.0,7963.0,751.0,2.41663149575854,0.4287192058003906,#ab90c7,0.055325424165020745
22400,1163291121,7515.0,7961.0,711.0,0.759774296014995,0.24035697604799805,#cfbfdf,0.04551567903283457
22500,1163290823,7530.0,7714.0,993.0,2.36290571507486,0.4229953011319288,#ad91c7,0.05499830244419891
22600,1163290877,7518.0,7673.0,742.0,3.24542727807416,0.508816255136938,#9c7cbc,0.060112995104008984
22700,1163290880,7518.0,7671.0,732.0,1.01038186975104,0.2716472369464567,#c9b7db,0.047015660854208496
22800,1163290576,7038.0,8375.0,3933.0,46.4001017580369,0.9923764862246993,#41027e,0.09921352324748199
22900,1053044068,7878.0,9330.0,767.0,1.88521443857095,0.3719942447486466,#b69ece,0.052167353859172184
23000,1053043819,7557.0,8876.0,3613.0,9.35937901404852,0.8094372329654277,#643096,0.08208188780264114
23100,1053043915,7836.0,9126.0,1986.0,5.02144058762015,0.6381056571362296,#845bac,0.06873040716594171
23200,1053043817,7556.0,8875.0,3621.0,19.3189966373533,0.9410337509756656,#4b0f85,0.09407324928548473
23300,1153669273,7633.0,8067.0,672.0,0.431772454268847,0.19167557434963464,#d8cbe5,0.04327681668406281
23400,1153669034,7471.0,7963.0,2129.0,0.0279711248348487,0.04907636992849821,#f3eff7,0.03733234264966196
23500,1153669229,7608.0,8057.0,837.0,0.137516221006238,0.12344951459658383,#e5ddee,0.04032306423639903
23600,1153669197,7591.0,8049.0,945.0,0.0657067150665901,0.0902282979063549,#ebe5f2,0.03895856829515603
23700,1179695208,9260.0,8504.0,1855.0,6.44464555780224,0.7103002072015874,#7649a3,0.07406881944938389
23800,1179695014,8616.0,8428.0,2936.0,16.4726146474817,0.9206270590853665,#4f1488,0.09210491724830526
23900,1179695174,9502.0,8532.0,1561.0,4.40193951292489,0.5991542664405526,#8b65b1,0.06601159676027137
24000,1053044651,9574.0,9146.0,1974.0,0.0340670554855553,0.05699767721064659,#f2edf6,0.037640064027092655
24100,1053044231,8808.0,8686.0,3547.0,5.13846468934089,0.6450019278211233,#835aab,0.06922307218287371
24200,1053044381,9213.0,8883.0,2720.0,0.631835811558381,0.2230379326234354,#d2c4e1,0.0447062722778386
24300,1053044464,9407.0,9017.0,2326.0,5.64947052162422,0.6727594173278205,#7d53a7,0.07124316074539304
24400,1053044262,8851.0,8704.0,3463.0,0.192154660397377,0.1399942949033425,#e2d8ec,0.04102016843718688
24500,1053044398,9255.0,8909.0,2638.0,0.676503793675393,0.22917874820148396,#d1c2e0,0.04499157906700624
24600,1053045186,8433.0,8239.0,3007.0,2.44779099119325,0.43210464777297475,#ab8fc6,0.055519879204835906
24700,1053045301,9333.0,7801.0,1807.0,1.00945776569917,0.27154692755467646,#c9b7db,0.047010769880984175
24800,1179695370,8427.0,8190.0,2822.0,16.5107368710288,0.9209844112935837,#4e1488,0.09213908765582698
